,Unnamed: 0,Character,Gender,Alive?,Title,Forename,Surname,Old Surname,Alias,Character_clean
0,1202,alyn connington,M,D,Lord Commander,alyn,connington,,pale griffin,commander alyn connington
1,1458,brynden rivers,M,A,Lord Commander,brynden,rivers,,bloodraven,commander brynden rivers
2,1769,jack musgood,M,D,Lord Commander,jack,musgood,,jolly jack,commander jack musgood
3,112,jeor mormont,M,D,Lord Commander,jeor,mormont,,the old bear,commander jeor mormont
4,1160,marq rankenfell,M,D,Lord Commander,marq,rankenfell,,mad marq rankenfell,commander marq rankenfell
5,1377,orbert caswell,M,D,Lord Commander,orbert,caswell,,,commander orbert caswell
6,1380,osric stark,M,D,Lord Commander,osric,stark,,,commander osric stark
7,937,qorgyle,M,D,Lord Commander,?,qorgyle,,,commander qorgyle
8,1161,robin hill,M,D,Lord Commander,robin,hill,,,commander robin hill
9,1158,rodrik flint,M,D,Lord Commander,rodrik,flint,,,commander rodrik flint
10,1157,runcel hightower,M,D,Lord Commander,runcel,hightower,,,commander runcel hightower
11,1159,tristan mudd,M,D,Lord Commander,tristan,mudd,,,commander tristan mudd
12,2159,abelar hightower,M,H,Ser,abelar,hightower,,,abelar hightower
13,2336,addam,M,H,,addam,,,of hull,addam
14,2264,addam frey,M,H,Ser,addam,frey,,,addam frey
15,292,addam marbrand,M,A,Ser,addam,marbrand,,,addam marbrand
16,2178,addam osgrey,M,H,,addam,osgrey,,,addam osgrey
17,1466,addison hill,M,D,Ser,addison,hill,,the bastard of cornfield,addison hill
18,1833,adrack humble,M,D,,adrack,humble,,,adrack humble
19,2401,adrian redfort,M,H,Ser,adrian,redfort,,,adrian redfort
20,785,aegon frey,M,D,,aegon,frey,,jinglebell,aegon frey
21,801,aegon frey,M,A,,aegon,frey,,"son of aenys, bloodborn",aegon frey
22,39,aegon i targaryen,M,D,King,aegon,targaryen,,the conqueror/the dragon,aegon i targaryen
23,425,aegon ii targaryen,M,D,King,aegon,targaryen,,the usurper,aegon ii targaryen
24,132,aegon iii targaryen,M,D,King,aegon,targaryen,,dragonbane/the younger,aegon iii targaryen
25,415,aegon iv targaryen,M,U,Prince,aegon,targaryen,,son of rhaegar targaryen,aegon iv targaryen
26,136,aegon v targaryen,M,D,King,aegon,targaryen,,the fortunate/the unlikely,aegon v targaryen
27,1761,aegor rivers,M,D,Ser,aegor,rivers,,bittersteel,aegor rivers
28,2212,aelinor targaryen,F,H,Queen,aelinor,targaryen,penrose,,aelinor targaryen
29,2407,aemma arryn,F,H,Lady,aemma,arryn,,,aemma arryn
30,1019,aemon costayne,M,A,,aemon,costayne,,,aemon costayne
31,731,aemon estermont,M,A,Ser,aemon,estermont,,,aemon estermont
32,891,aemon rivers,M,A,Ser,aemon,rivers,,,aemon rivers
33,64,aemon targaryen,M,D,Prince,aemon,targaryen,,the dragonknight,aemon targaryen
34,1780,aemond targaryen,M,D,Prince,aemond,targaryen,,,aemond targaryen
35,2294,aemond targaryen,M,H,Prince,aemond,targaryen,,one-eye,aemond targaryen
36,1417,aenar targaryen,M,D,Lord,aenar,targaryen,,aenar the exile,aenar targaryen
37,668,aenys frey,M,D,Ser,aenys,frey,,,aenys frey
38,422,aenys targaryen,M,D,,aenys,targaryen,,,aenys targaryen
39,491,aerion targaryen,M,D,Prince,aerion,targaryen,,brightflame/aerion the monstrous,aerion targaryen
40,406,aeron greyjoy,M,U,,aeron,greyjoy,,damphair,aeron greyjoy
41,429,aerys i targaryen,M,D,King,aerys,targaryen,,,aerys i targaryen
42,23,aerys ii targaryen,M,D,King,aerys,targaryen,,the mad king,aerys ii targaryen
43,903,aethan,M,U,,aethan,,,,aethan
44,676,aggar,M,D,,aggar,,,,aggar
45,897,aladale wynch,M,D,Ser,aladale,wynch,,,aladale wynch
46,1028,alan,M,D,,alan,,,of rosby,alan
47,2342,alan beesbury,M,H,Ser,alan,beesbury,,,alan beesbury
48,2329,alan tarly,M,H,Lord,alan,tarly,,,alan tarly
49,400,alannys greyjoy,F,A,Lady,alannys,greyjoy,harlaw,,alannys greyjoy
50,1020,alaric,M,A,,alaric,,,of eysen,alaric
51,536,alayaya,F,A,,alayaya,,,,alayaya
52,213,albar royce,M,A,Ser,albar,royce,,,albar royce
53,140,albett,M,A,,albett,,,,albett
54,459,alebelly,M,D,,alebelly,,,,alebelly
55,752,alekyne florent,M,A,,alekyne,florent,,,alekyne florent
56,378,alerie tyrell,F,A,Lady,alerie,tyrell,hightower,,alerie tyrell
57,837,alesander frey,M,A,,alesander,frey,,,alesander frey
58,1236,alesander staedmon,M,A,,alesander,staedmon,,pennylover,alesander staedmon
59,1697,alesandor torrent,M,A,Lord,alesandor,torrent,,,alesandor torrent
60,629,alester florent,M,D,Lord,alester,florent,,,alester florent
61,758,alester norcross,M,A,,alester,norcross,,,alester norcross
62,1438,alester oakheart,M,D,,alester,oakheart,,,alester oakheart
63,1924,alf,M,A,,alf,,,of runnymudd,alf
64,2400,alfred broome,M,H,Ser,alfred,broome,,,alfred broome
65,661,alfyn,M,D,,alfyn,,,crowkiller,alfyn
66,158,alia,F,A,,alia,,,of braavos,alia
67,2279,alicent targaryen,F,H,Queen,alicent,targaryen,hightower,,alicent targaryen
68,1903,alios qhaedar,M,A,,alios,qhaedar,,,alios qhaedar
69,920,alla tyrell,F,A,,alla,tyrell,,,alla tyrell
70,1615,allaquo,M,A,,allaquo,,,,allaquo
71,494,allar deem,M,D,,allar,deem,,,allar deem
72,497,allard seaworth,M,D,,allard,seaworth,,,allard seaworth
73,1321,alleras,M,A,,alleras,,,the sphinx,alleras
74,106,alliser thorne,M,U,Ser,alliser,thorne,,,alliser thorne
75,1129,allyria dayne,F,A,,allyria,dayne,,,allyria dayne
76,1482,alvyn sharp,M,A,,alvyn,sharp,,,alvyn sharp
